I0916 23:59:50.485169      50 server.go:1568] Starting language server process with pid 3306
I0916 23:59:50.485968      50 server.go:1621] Language server version: 1.2.4
I0916 23:59:50.485976      50 server.go:614] Language server will attempt to listen on host localhost
I0916 23:59:50.486978      50 server.go:629] Language server listening on random port at 57449 for HTTPS (gRPC)
I0916 23:59:50.487232      50 server.go:637] Language server listening on random port at 57450 for HTTP
W0916 23:59:50.989082      67 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0916 23:59:50.989203      67 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0916 23:59:50.989788      67 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0916 23:59:50.989863      67 model_configs.go:65] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
I0916 23:59:50.992048      75 store_client.go:680] summary store: starting background reconciliation (trigger=empty_on_open)
I0916 23:59:50.992123      75 store_client.go:709] summary store: reconcile func returned 0 records, skipping
W0916 23:59:50.994944      75 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0916 23:59:50.994979      75 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0916 23:59:50.995172      75 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0916 23:59:50.995188      75 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0916 23:59:50.995273      50 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0916 23:59:50.995288      50 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0916 23:59:50.995349      50 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0916 23:59:50.995361      50 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0916 23:59:50.995413      50 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0916 23:59:50.995432      50 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0916 23:59:50.995476      50 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0916 23:59:50.995490      50 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0916 23:59:50.995912      50 server.go:1911] Generated and saved persistent installation UUID: 180ac84a-c507-4da0-8b18-63724becbe2b
W0916 23:59:50.996430      50 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
W0916 23:59:50.997648      50 defaults.go:776] failed to get cs path: cs path /usr/bin/cs invalid
I0916 23:59:50.997660     140 migrate.go:50] Migration marker /Users/zhaoqingli/.gemini/config/.migrated does not exist. Attempting migration from AppDataDir /Users/zhaoqingli/.gemini/antigravity-cli.
I0916 23:59:50.997734      50 manager.go:108] Creating trajectory store manager with proto store and SQLite store
I0916 23:59:50.998018     140 migrate.go:158] Migration complete, marked with /Users/zhaoqingli/.gemini/config/.migrated
W0916 23:59:50.998124      50 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0916 23:59:50.998188      50 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0916 23:59:50.998328      50 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0916 23:59:50.998415      50 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0916 23:59:51.001079      13 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
I0916 23:59:51.001107      13 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
I0916 23:59:51.001167      13 manager.go:105] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] starting
I0916 23:59:51.001425      13 project_uris_migration.go:42] Starting ProjectUrisMigration
I0916 23:59:51.001459      13 manager.go:125] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] completed successfully in 33.625µs
I0916 23:59:51.001675      13 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
I0916 23:59:51.001717      13 manager.go:105] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] starting
I0916 23:59:51.002022      13 manager.go:125] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] completed successfully in 62.334µs
I0916 23:59:51.002209      13 manager.go:91] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] is enabled
I0916 23:59:51.002246      13 manager.go:105] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] starting
I0916 23:59:51.002489      13 manager.go:125] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] completed successfully in 42.333µs
I0916 23:59:51.002671      13 manager.go:88] Migration [MIGRATION_ID_LIN_BUILTIN_TO_MARKETPLACE] is disabled, skipping entirely
I0916 23:59:51.006089      50 server.go:3015] Auth succeeded, refreshing features and managers
W0916 23:59:51.006388      50 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0916 23:59:51.006428      50 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0916 23:59:51.006624      50 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0916 23:59:51.006830      50 server.go:3021] State refresh took 0ms
I0916 23:59:51.006948      50 server.go:3031] [RemoteControl] Subscription callback triggered.
W0916 23:59:51.007236      15 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
I0916 23:59:51.007283      50 server.go:3034] [RemoteControl] RemoteControlEnabled value: false
E0916 23:59:51.007318      15 errorreport.go:224] error getting token source: You are not logged into Antigravity.
I0916 23:59:51.007341      50 server.go:3653] [RemoteControl] Session toggle is off, staying disconnected
I0916 23:59:51.007349      50 server.go:3364] [RemoteControl] Resolved proxyServerURL: ""
W0916 23:59:51.007393      15 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0916 23:59:51.007410      15 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0916 23:59:51.007385      50 profiler.go:231] Continuous pprof profiling is disabled.
I0916 23:59:51.007433     276 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
I0916 23:59:51.007471     276 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
I0916 23:59:51.007620     276 manager.go:100] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0916 23:59:51.007636     276 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
I0916 23:59:51.007708     276 manager.go:100] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
I0916 23:59:51.007725     276 manager.go:91] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] is enabled
I0916 23:59:51.007866     276 manager.go:100] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0916 23:59:51.007879     276 manager.go:88] Migration [MIGRATION_ID_LIN_BUILTIN_TO_MARKETPLACE] is disabled, skipping entirely
I0916 23:59:51.007886      50 server.go:2517] initialized server successfully in 522.629083ms
